TT,TRƯỜNG ĐẠI HỌC,Loại trường,Học phí
28,Trường Đại học Buôn Ma Thuột,Tư thục,10 – 20 triệu đồng/năm
29,Trường Đại học Cần Thơ,Công lập,"13,2 – 33 triệu đồng/năm"
30,Trường Đại học Công đoàn,Công lập,"11,8 – 12,3 triệu đồng/năm"
31,Trường Đại học Công nghệ Đông Á,Tư thục,20 – 25 triệu đồng/năm
32,Trường Đại học Công nghệ Đồng Nai,Tư thục,19 – 30 triệu đồng/năm
33,Trường Đại học Công nghệ giao thông vận tải,Công lập,"11,6 triệu đồng/năm"
34,Trường Đại học Công nghệ miền Đông,Tư thục,23 – 30 triệu đồng/năm
35,Trường Đại học Công nghệ Sài Gòn,Tư thục,"674,300 đ – 734,800 đồng/tín chỉ"
36,Trường Đại học Công nghệ TP. Hồ Chí Minh,Tư thục,"27,2 – 32 triệu đồng/năm"
37,Trường Đại học Công nghệ và Quản lý Hữu Nghị,Tư thục,15 triệu đồng/năm
38,Trường Đại học Công nghiệp dệt may Hà Nội,Công lập,"15,9 – 17,5 triệu đồng/năm"
39,Trường Đại học Công nghiệp Hà Nội,Công lập,"18,5 triệu đồng/năm"
40,Trường Đại học Công nghiệp Quảng Ninh,Công lập,"338,000 đ – 392,000 đồng/tín chỉ"
41,Trường Đại học Công nghiệp thực phẩm TP. Hồ Chí Minh,Công lập,"630,000 đ – 810,000 đồng/tín chỉ"
42,Trường Đại học Công nghiệp TP. Hồ Chí Minh,Công lập,"25,4 – 27,8 triệu đồng/năm"
43,Trường Đại học Công nghiệp Việt – Hung,Công lập,"12,5 – 14,5 triệu đồng/năm"
44,Trường Đại học Công nghiệp Việt Trì,Công lập,"12 – 14,5 triệu đồng/năm"
45,Trường Đại học Công nghiệp Vinh,Tư thục,"250,000 đồng/tín chỉ"
46,Trường Đại học Cửu Long,Tư thục,"14,6 – 21 triệu đồng/năm"
47,Trường Đại học Đà Lạt,Công lập,"9,8 – 11,2 triệu đồng/năm"
48,Trường Đại học Đại Nam,Tư thục,25 – 95 triệu đồng/năm
49,Trường Đại học dân lập Phương Đông,Tư thục,"18,5 – 24 triệu đồng/năm"
50,Trường Đại học Dầu khí Việt Nam,Tư thục,"11,2 triệu đồng/năm"
51,Trường Đại học Điện lực,Công lập,"14,3 – 16 triệu đồng/năm"
52,Trường Đại học Điều dưỡng Nam Định,Công lập,"450,000 đồng/tín chỉ"
53,Trường Đại học Đông Á,Tư thục,"570,000 – 595,000 đồng/tín chỉ"
54,Trường Đại học Đông Đô,Tư thục,"15,9 – 25 triệu đồng/năm"
55,Trường Đại học Đồng Nai,Công lập,"8,4 – 9,7 triệu đồng/năm"
56,Trường Đại học Đồng Tháp,Công lập,"14,7 – 38,6 triệu đồng/năm"
57,Trường Đại học Dược Hà Nội,Công lập,"13,5 – 45,000, triệu đồng/năm"
58,Trường Đại học Duy Tân,Tư thục,20 – 64 triệu đồng/năm
59,Trường Đại học FPT,Tư thục,"22,6 – 54,6 triệu đồng/năm"
60,Trường Đại học Gia Định,Tư thục,27 triệu đồng/năm
61,Trường Đại học Giao thông vận tải,Dân lập,"275,900 đ – 616,520 đồng/tín chỉ"
62,Trường Đại học Giao thông vận tải TP. Hồ Chí Minh,Công lập,"17,4 triệu đồng/năm"
63,Trường Đại học Hạ Long,Công lập,"8,58 – 11 triệu đồng/năm"
64,Trường Đại học Hà Nội,Công lập,"600,000 – 1,300,000 đồng/tín chỉ"
65,Trường Đại học Hà Tĩnh,Công lập,11 – 14 triệu đồng/năm
66,Trường Đại học Hải Dương,Công lập,"12 – 14,5 triệu đồng/năm"
67,Trường Đại học Hải Phòng,Công lập,"9,8 – 11,2 triệu đồng/năm"
68,Trường Đại học Hàng Hải Việt Nam,Công lập,"9,8 – 11,2 triệu đồng/năm"
69,Trường Đại học Hoà Bình,Tư thục,"15 – 29,5 triệu đồng/năm"
70,Trường Đại học Hoa Lư,Tư thục,"210,000 đ – 390,000 đồng/tín chỉ"
71,Trường Đại học Hoa Sen,Tư thục,77 – 91 triệu đồng/năm
72,Trường Đại học Hồng Đức,Công lập,"9,8 – 11,2 triệu đồng/năm"
73,Trường Đại học Hùng Vương,Công lập,"228,000 đ – 396,000 đồng/tín chỉ"
74,Trường Đại học Hùng Vương – TP. Hồ Chí Minh,Tư thục,"800,000 đồng/tín chỉ"
75,Trường Đại học Khánh Hòa,Công lập,"12 – 13,5 triệu đồng/năm"
76,Trường Đại học Khoa học và Công nghệ Hà Nội,Tư thục,"46,6 – 97,86 triệu đồng/năm"
77,Trường Đại học Kiểm sát Hà Nội,Công lập,11 triệu đồng/năm
78,Trường Đại học Kiên Giang,Công lập,11 – 14 triệu đồng/năm
79,Trường Đại học Kiến trúc Đà Nẵng,Tư thục,"616,000 đ -770,000 đồng/tín chỉ"
80,Trường Đại học Kiến trúc Hà Nội,Công lập,"426,400 đ – 487,000 đồng/tín chỉ"
81,Trường Đại học Kiến trúc TP. Hồ Chí Minh,Công lập,12 – 55 triệu đồng/năm
82,Trường Đại học Kinh Bắc,Tư thục,"484,000 đ – 950,000 đồng/tín chỉ"
83,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Tư thục,12 – 72 triệu đồng/năm
84,Trường Đại học Kinh tế – Kỹ thuật Bình Dương,Tư thục,15 – 16 triệu đồng/năm
85,Trường Đại học Kinh tế – Tài chính TP. Hồ Chí Minh,Tư thục,16 – 18 triệu đồng/năm
86,Trường Đại học Kinh tế Công nghiệp Long An,Tư thục,22 triệu d/năm
87,Trường Đại học Kinh tế Kỹ thuật Công nghiệp,Công lập,17 triệu đồng/năm
88,Trường Đại học Kinh tế Nghệ An,Công lập,"295,000 đồng/tín chỉ"
89,Trường Đại học Kinh tế quốc dân,Công lập,16 – 65 triệu đồng/năm
90,Trường Đại học Kinh tế TP. Hồ Chí Minh,Công lập,"830,000 đ – 1,685,000 đồng/tín chỉ"
91,Trường Đại học Kỹ thuật – Công nghệ Cần Thơ,Công lập,"330,000 đ – 350,000 đồng/tín chỉ"
92,Trường Đại học Kỹ thuật Y – Dược Đà Nẵng,Công lập,"18,5 – 24,5 triệu đồng/năm"
93,Trường Đại học Kỹ thuật Y tế Hải Dương,Công lập,"21,45 triệu đồng/năm"
94,Trường Đại học Lạc Hồng,Tư thục,27 – 41 triệu đồng/năm
95,Trường Đại học Lâm nghiệp,Công lập,44 triệu đồng/năm
96,Trường Đại học Lao động – Xã hội,Công lập,"457,000 đ – 532,000 đồng/tín chỉ"
97,Trường Đại học Luật Hà Nội,Công lập,"572,000 đ – 1,605,000 đồng/tín chỉ"
98,Trường Đại học Luật TP. Hồ Chí Minh,Công lập,"16,2 triệu đồng/năm"
99,Trường Đại học Lương Thế Vinh,Công lập,"400,000 – 450,000 đồng/tín chỉ"
100,Trường Đại học Mỏ – Địa chất,Công lập,"338,000 đ – 378,000 đồng/tín chỉ"
101,Trường Đại học Mở Hà Nội,Công lập,12 – 20 triệu đồng/năm
102,Trường Đại học Mở TP. Hồ Chí Minh,Công lập,"20 – 40,5 triệu đồng/năm"
103,Trường Đại học Mỹ thuật Công nghiệp,Công lập,"9,8 triệu đồng/năm"
104,Trường Đại học Mỹ thuật TP. Hồ Chí Minh,Công lập,"45,5 triệu đồng/năm"
105,Trường Đại học Mỹ thuật Việt Nam,Công lập,12 triệu đồng/năm
106,Trường Đại học Nam Cần Thơ,Tư thục,9 – 11 triệu đồng/năm
107,Trường Đại học Ngân hàng TP. Hồ Chí Minh,Công lập,14 triệu đồng/năm
108,Trường Đại học Ngoại ngữ – Tin học TP. Hồ Chí Minh,Tư thục,38 – 42 triệu đồng/năm
109,Trường Đại học Ngoại Thương,Công lập,22 – 65 triệu đồng/năm
110,Trường Đại học Nguyễn Tất Thành,Tư thục,37 – 70 triệu đồng/năm
111,Trường Đại học Nguyễn Trãi,Tư thục,"640,000 đồng/tín chỉ"
112,Trường Đại học Nha Trang,Công lập,10 – 20 triệu đồng/năm
113,Trường Đại học Nội vụ Hà Nội,Công lập,"387,000 đ – 471,000 đồng/tín chỉ"
114,Trường Đại học Nông lâm Bắc Giang,Công lập,"300,000 đồng/tín chỉ"
115,Trường Đại học Nông lâm TP. Hồ Chí Minh,Công lập,16 – 19 triệu đồng/năm
116,Trường Đại học Phạm Văn Đồng,Công lập,"420,000 đ – 490,000 đồng/tín chỉ"
117,Trường Đại học Phan Thiết,Tư thục,"600,000 – 700,000/tín chỉ"
118,Trường Đại học Phenikaa,Tư thục,20 – 75 triệu đồng/năm
119,Trường Đại học Phú Xuân,Tư thục,"560,000 đồng/tín chỉ"
120,Trường Đại học Phú Yên,Công lập,"11,8 triệu đồng/năm"
121,Trường Đại học Quản lý và Công nghệ Hải Phòng,Tư thục,"12,6 triệu đồng/năm"
122,Trường Đại học Quảng Bình,Công lập,"9,6 triệu đồng/năm"
123,Trường Đại học Quảng Nam,Công lập,"10,6 triệu đồng/năm"
124,Trường Đại học Quang Trung,Tư thục,"440,000 đ – 490,000 đồng/tín chỉ"
125,Trường Đại học Quốc tế Bắc Hà,Tư thục,"350,000 đ – 500,000 đồng/tín chỉ"
126,Trường Đại học Quốc tế Hồng Bàng,Tư thục,55 – 250 triệu đồng/năm
127,Trường Đại học Quốc tế miền Đông,Tư thục,20 – 40 triệu đồng/năm
128,Trường Đại học Quy Nhơn,Công lập,"9,8 – 11,2 triệu đồng/năm"
129,Trường Đại học Sài Gòn,Công lập,"1,445,000 đ – 3,267,000 đồng/tháng"
130,Trường Đại học Sân khấu điện ảnh Hà Nội,Công lập,"9,8 triệu đồng/năm"
131,"Trường Đại học Sân khấu, điện ảnh TP. Hồ Chí Minh",Công lập,12 triệu đồng/năm
132,Trường Đại học Sao Đỏ,Công lập,"9,8 – 11,2 triệu đồng/năm"
133,Trường Đại học Sư phạm Hà Nội,Công lập,"9,8 – 11,2 triệu đồng/năm"
134,Trường Đại học Sư phạm Hà Nội 2,Công lập,"12 – 14,5 triệu đồng/năm"
135,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,Công lập,"355,000 đ – 414,000 đồng/tín chỉ"
136,Trường Đại học Sư phạm Kỹ thuật Nam Định,Công lập,"450,000 đ – 520,000 đồng/tín chỉ"
137,Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,Công lập,38 – 50 triệu đồng/năm
138,Trường Đại học Sư phạm Kỹ thuật Vinh,Công lập,"8,43 – 11,68 triệu đồng/năm"
139,Trường Đại học Sư phạm Kỹ thuật Vĩnh Long,Công lập,"9 – 10,5 triệu đồng/năm"
140,Trường Đại học Sư phạm Nghệ thuật trung ương,Công lập,"9,8 – 24,5 triệu đồng/năm"
141,Trường Đại học Sư phạm Thể dục thể thao Hà Nội,Công lập,"9,8 triệu đồng/năm"
142,Trường Đại học Sư phạm Thể dục thể thao TP. Hồ Chí Minh,Công lập,"10,6 triệu đồng/năm"
143,Trường Đại học Sư phạm TP. Hồ Chí Minh,Công lập,"9,8 – 11,2 triệu đồng/năm"
144,Trường Đại học Tài chính – Kế toán,Công lập,"9,8 triệu đồng/năm"
145,Trường Đại học Tài chính – Marketing,Công lập,"18,3 triệu đồng/năm"
146,Trường Đại học Tài chính – Ngân hàng Hà Nội,Tư thục,"600,000 đồng/tín chỉ"
147,Trường Đại học Tài chính – Quản trị kinh doanh,Công lập,"362,000 đồng/tín chỉ"
148,Trường Đại học Tài nguyên và Môi trường Hà Nội,Công lập,"297,000 – 354,000 đồng/tín chỉ"
149,Trường Đại học Tài nguyên và Môi trường TP. Hồ Chí Minh,Công lập,"289,000 – 353,000 đồng/tín chỉ"
150,Trường Đại học Tân Tạo,Tư thục,25 – 150 triệu đồng/năm
151,Trường Đại học Tân Trào,Công lập,"7,8 – 14,3 triệu đồng/năm"
152,Trường Đại học Tây Bắc,Công lập,"331,000 đ – 396,000 đồng/tín chỉ"
153,Trường Đại học Tây Đô,Công lập,"468,000 – 1,300,000 đồng/tín chỉ"
154,Trường Đại học Tây Nguyên,Công lập,"1,2 – 1,850,000 đồng/tháng"
155,Trường Đại học Thái Bình,Công lập,"12 – 14,5 triệu đồng/năm"
156,Trường Đại học Thái Bình Dương,Tư thục,"640,000 đồng/tín chỉ"
157,Trường Đại học Thăng Long,Tư thục,"24,2 – 29,7 triệu đồng/năm"
158,Trường Đại học Thành Đô,Tư thục,24 – 48 triệu đồng/năm
159,Trường Đại học Thành Đông,Tư thục,"305,000 đ – 1,000,000 đồng/tín chỉ"
160,Trường Đại học Thể dục thể thao Bắc Ninh,Công lập,"12,9 triệu đồng/năm"
161,Trường Đại học Thể dục thể thao Đà Nẵng,Công lập,12 triệu đồng/năm
162,Trường Đại học Thủ Dầu Một,Công lập,"6 – 1,015,000 đồng/tín chỉ"
163,Trường Đại học Thủ đô Hà Nội,Công lập,"12 – 14,5 triệu đồng/năm"
164,Trường Đại học Thương Mại,Công lập,"23 – 33,5 triệu đồng/năm"
165,Trường Đại học Thuỷ lợi,Công lập,"350,000 – 388,000 đồng/tín chỉ"
166,Trường Đại học Tiền Giang,Công lập,"350,000 đ – 420,000 đồng/tín chỉ"
167,Trường Đại học Tôn Đức Thắng,Công lập,"11,55 – 50,6 triệu đồng/năm"
168,Trường Đại học Trà Vinh,Công lập,"16,4 – 48 triệu đồng/năm"
169,Trường Đại học Trưng Vương,Tư thục,12 triệu đồng/năm
170,Trường Đại học tư thục Quốc tế Sài Gòn,Tư thục,55 – 62 triệu đồng/năm
171,Trường Đại học Văn Hiến,Tư thục,"800,000 đồng/tín chỉ"
172,Trường Đại học Văn hoá Hà Nội,Công lập,"286,000 đồng/tín chỉ"
173,Trường Đại học Văn hoá TP. Hồ Chí Minh,Công lập,12 triệu đồng/năm
174,"Trường Đại học Văn hoá, Thể thao và Du lịch Thanh Hoá",Công lập,"7,5 – 9 triệu đồng/năm"
175,Trường Đại học Văn Lang,Tư thục,40 – 196 triệu đồng/năm
176,Trường Đại học Việt Bắc,Tư thục,"305,000 – 320,000 đồng/tín chỉ"
177,Trường Đại học Việt Đức,Công lập,78 – 84 triệu đồng/năm
178,Trường Đại học Vinh,Công lập,"12,9 triệu đồng/năm"
179,Trường Đại học Võ Trường Toản,Tư thục,"5,250,000 đ – 30,750,000 đồng/kì"
180,Trường Đại học Xây dựng Hà Nội,Công lập,"13,5 triệu đồng/năm"
181,Trường Đại học Xây dựng miền Tây,Công lập,"11,2 triệu đồng/năm"
182,Trường Đại học Xây dựng miền Trung,Công lập,"12,5 – 14,5 triệu đồng/năm"
183,Trường Đại học Y Dược Cần Thơ,Công lập,"24,6 triệu đồng/năm"
184,Trường Đại học Y Dược Hải Phòng,Công lập,"18,5 – 24,5 triệu đồng/năm"
185,Trường Đại học Y Dược Thái Bình,Công lập,"18,5 – 24,5 triệu đồng/năm"
186,Trường Đại học Y Dược TP. Hồ Chí Minh,Công lập,37 – 77 triệu đồng/năm
187,Trường Đại học Y Hà Nội,Công lập,"18,5 – 37 triệu đồng/năm"
188,Trường Đại học Y khoa Phạm Ngọc Thạch,Công lập,41 – 44 triệu đồng/năm
189,Trường Đại học Y khoa Vinh,Công lập,"14,3 – 23 triệu đồng/năm"
190,Trường Đại học Y tế Công cộng,Công lập,"9,8 – 11,2 triệu đồng/năm"
191,Trường Đại học Yersin Đà Lạt,Tư thục,16 – 17 triệu đồng/năm
